Item,Category,Price,Review,Region,AgeGroup,ProductID
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,66
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,67
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,68
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,69
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,70
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,71
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,72
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,73
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,74
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,75
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,76
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,77
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,78
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,79
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,80
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,81
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,82
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,83
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,84
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,85
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,86
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,87
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,88
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,89
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,90
